date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2015-02-21,1.23,1,,1,['http://motrolix.com/2015/02/texas-legislators-trying-allow-tesla-stores-state/'],['Texas Legislators Trying Allow Tesla Stores State']
2015-02-23,-0.76,3,1.18,3,"['http://www.propertymentorgroup.com/stocks-gaining-momentum-yingli-green-energy-holding-nyseyge-sony-corp-adr-nysesne-airgas-nysearg-tesla-motors-inc-nasdaqtsla-escalon-medical-nasdaqesmc/1275361/', 'http://www.wptz.com/money/driving-teslas-insane-model-s/31427538', 'http://money.cnn.com/2015/02/23/autos/tesla-model-s-p85d-review/']","['1275361', '31427538', 'Tesla Model S P85d Review']"
2015-02-24,0.26,4,1.63,4,"['http://americasmarkets.usatoday.com/2015/02/23/why-apples-electric-car-will-be-great-for-tesla/', 'http://www.treehugger.com/cars/9-reasons-why-i-think-apple-might-buy-tesla.html', 'http://www.gurufocus.com/news/318067/is-apple-foraying-into-cars-to-compete-with-tesla-and-general-motors', 'http://www.fin24.com/Markets/International-Markets/US-stocks-pause-ahead-of-Fed-testimony-20150224-2']","['Why Apples Electric Car Will Be Great For Tesla', '9 Reasons Why I Think Apple Might Buy Tesla', 'Is Apple Foraying Into Cars To Compete With Tesla And General Motors', 'Us Stocks Pause Ahead Of Fed Testimony 20150224 2']"
2015-02-25,1.27,4,1.96,4,"['http://www.mynews3.com/mostpopular/story/Tesla-recruiting-students-at-UNLV/bKy5bPOdw0yn3HKNCQ_zGA.cspx', 'http://customstoday.com.pk/tesla-model-s-p85d-2015-for-105670-can-go-to-60-mph-in-just-3-2-seconds-pure-electric-car-3/', 'http://stream.marketwatch.com/story/markets/SS-4-4/SS-4-78711/', 'http://www.bidnessetc.com/35572-mercedesbenz-head-not-worried-about-apple-incs-foray-into-cars/']","['Bky5bpodw0yn3hkncq Zga.cspx', 'Tesla Model S P85d 2015 For 105670 Can Go To 60 Mph In Just 3 2 Seconds Pure Electric Car 3', 'Ss 4 78711', '35572 Mercedesbenz Head Not Worried About Apple Incs Foray Into Cars']"
2015-02-27,-0.47,2,0.51,2,"['http://www.mrtopstep.com/brent-crude-up-5-percent-as-saudi-sees-improved-demand-for-oil/', 'http://www.themalaysianinsider.com/business/article/nasdaq-nears-5000-as-oil-weakness-weighs-on-sp-500']","['Brent Crude Up 5 Percent As Saudi Sees Improved Demand For Oil', 'Nasdaq Nears 5000 As Oil Weakness Weighs On Sp 500']"
2015-02-28,1.48,1,,1,['http://www.nasdaq.com/article/4-new-elon-musk-quotes-that-tesla-motors-inc-investors-shouldnt-overlook-cm449565'],['4 New Elon Musk Quotes That Tesla Motors Inc Investors Shouldnt Overlook Cm449565']
2015-03-02,-4.4,1,,1,['http://www.investing.com/equities/tesla-motors'],['Tesla Motors']
2015-03-04,-0.62,4,1.24,4,"['http://www.nasdaq.com/article/3-highly-shorted-tech-stocks-cm450610', 'http://www.bloomberg.com/news/articles/2015-03-04/as-tesla-gears-up-for-suv-investors-ask-where-the-profits-are', 'http://www.middletownpress.com/business/20150303/tesla-negotiations-with-connecticut-dealers-group-stalled', 'http://www.bidnessetc.com/36042-apple-inc-ev-making-some-automakers-flinch-and-others-shrug/']","['3 Highly Shorted Tech Stocks Cm450610', 'As Tesla Gears Up For Suv Investors Ask Where The Profits Are', 'Tesla Negotiations With Connecticut Dealers Group Stalled', '36042 Apple Inc Ev Making Some Automakers Flinch And Others Shrug']"
2015-03-06,0.78,2,2.65,2,"['http://www.bizjournals.com/phoenix/blog/business/2015/03/elon-musk-drives-nevada-to-top-spot-for-green-and.html', 'http://www.rgj.com/longform/news/2015/03/06/tesla-effect-northern-nevadas-construction-comeback/24446491/']","['Elon Musk Drives Nevada To Top Spot For Green And', '24446491']"
2015-03-07,0.36,3,1.7,3,"['http://stocks.org/automobile/addition-of-employees-at-tesla-motors-inc-nasdaqtsla-interrupting-the-energy-storage-area/29077/', 'http://www.contracostatimes.com/business/ci_27662232/biz-break-no-big-dow-bounce-apple-job', 'http://www.nasdaq.com/article/tesla-motors-inc-is-already-gearing-up-for-model-3-cm451953']","['29077', 'Biz Break No Big Dow Bounce Apple Job', 'Tesla Motors Inc Is Already Gearing Up For Model 3 Cm451953']"
