date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2015-02-20,0.2,1,,1,['http://seekingalpha.com/article/2933336-the-importance-of-diversification-year-one-of-my-dgi-journey-part-2'],['2933336 The Importance Of Diversification Year One Of My Dgi Journey Part 2']
2015-03-03,-0.72,1,,1,['http://seekingalpha.com/article/2966776-american-realty-capital-a-fresh-start'],['2966776 American Realty Capital A Fresh Start']
2015-03-17,2.3,1,,1,['http://www.nasdaq.com/article/3-reasons-realty-income-corps-stock-price-could-rise-in-2015-cm455793'],['3 Reasons Realty Income Corps Stock Price Could Rise In 2015 Cm455793']
2015-03-21,1.5,1,,1,['http://seekingalpha.com/article/3018226-a-moaty-reit-with-a-decent-margin-of-safety'],['3018226 A Moaty Reit With A Decent Margin Of Safety']
2015-03-30,0.24,1,,1,['http://www.insidefutures.com/article/1408394/Barchart%20Morning%20Call.html'],['Barchart%20morning%20call']
2015-04-08,2.81,1,,1,['http://seekingalpha.com/article/3056136-my-top-first-quarter-pick-took-off-without-me'],['3056136 My Top First Quarter Pick Took Off Without Me']
2015-04-11,0.0,1,,1,['http://www.sddt.com/news/article.cfm?Sourcecode=20150410tbc&_t=Two+local+companies+show+the+REIT+stuff'],['Article.cfm?sourcecode=20150410tbc& T=two+local+companies+show+the+reit+stuff']
2015-05-01,0.5,1,,1,['http://seekingalpha.com/article/3128676-w-p-carey-a-high-yielding-reit-for-current-income'],['3128676 W P Carey A High Yielding Reit For Current Income']
2015-05-15,0.04,1,,1,['http://seekingalpha.com/article/3187736-death-and-taxes-ftg-portfolio-coins-money-from-deathcare-while-saving-retirees-money-on-taxes'],['3187736 Death And Taxes Ftg Portfolio Coins Money From Deathcare While Saving Retirees Money On Taxes']
2015-06-16,2.42,1,,1,['http://seekingalpha.com/article/3260845-can-aspiring-retirees-be-nudged-into-living-off-dividends-alone'],['3260845 Can Aspiring Retirees Be Nudged Into Living Off Dividends Alone']
2015-06-18,0.42,1,,1,['http://www.nasdaq.com/article/realty-income-corporation-how-this-10-billion-reit-makes-its-money-cm488161'],['Realty Income Corporation How This 10 Billion Reit Makes Its Money Cm488161']
2015-06-22,0.27,1,,1,['http://www.stockhouse.com/blogs/dividend-yield-list/june-2015/5-high-yielding-s-p-500-stocks-with-a-very-predictable-business'],['5 High Yielding S P 500 Stocks With A Very Predictable Business']
2015-07-16,1.21,1,,1,['http://www.stocktranscript.com/morning-watch-list-cyanotech-corp-nasdaqcyan-dermira-inc-nasdaqderm-ja-solar-holdings-nasdaqjaso-realty-income-corporation-nyseo-itau-unibanco-holding-nyseitub/37739/'],['37739']
2015-07-17,0.1,1,,1,['http://seekingalpha.com/article/3332835-ccc-dividend-dogs-yields-to-13_56-percent-upsides-to-86_31-percent-net-gains-to-95-percent-for-july'],['3332835 Ccc Dividend Dogs Yields To 13 56 Percent Upsides To 86 31 Percent Net Gains To 95 Percent For July']
2015-07-25,0.0,1,,1,['http://seekingalpha.com/article/3355405-dividends-and-income-digest-3-common-mistakes-dividend-investors-make-or-do-they'],['3355405 Dividends And Income Digest 3 Common Mistakes Dividend Investors Make Or Do They']
2015-07-28,-1.17,1,,1,['http://www.nasdaq.com/article/commit-to-buy-realty-income-corp-at-45-earn-82-annualized-using-options-cm501955'],['Commit To Buy Realty Income Corp At 45 Earn 82 Annualized Using Options Cm501955']
2015-09-10,0.34,1,,1,['http://www.4-traders.com/DDR-CORP-12272/news/DDR--Daily-Dividend-Report-POT-ROP-HES-O-PHM-DDR-TRN-INT-21022010/'],['Ddr Daily Dividend Report Pot Rop Hes O Phm Ddr Trn Int 21022010']
2015-09-11,0.24,1,,1,['http://www.emarketsdaily.com/declaration-on-hit-list-freescale-semiconductor-ltd-nysefsl-realty-income-corporation-nyseo-zs-pharma-inc-nasdaqzsph/1843116/'],['1843116']
2015-09-15,7.47,1,,1,['http://www.nasdaq.com/article/realty-income-announces-12m-atm-equity-sale-program-cm519836'],['Realty Income Announces 12m Atm Equity Sale Program Cm519836']
2015-10-05,0.9,1,,1,['http://seekingalpha.com/article/3551546-retirement-strategy-the-simplicity-of-a-more-secure-retirement-portfolio-for-regular-folks'],['3551546 Retirement Strategy The Simplicity Of A More Secure Retirement Portfolio For Regular Folks']
2015-10-15,0.88,1,,1,['http://etfdailynews.com/2015/10/14/did-janet-yellen-green-light-investors-to-buy-reits/'],['Did Janet Yellen Green Light Investors To Buy Reits']
2015-10-26,0.99,1,,1,['http://seekingalpha.com/article/3603916-my-top-10-monthly-dividend-stocks'],['3603916 My Top 10 Monthly Dividend Stocks']
2015-11-03,1.16,1,,1,['http://www.fool.com/investing/general/2015/11/02/battle-royale-realty-income-corporation-vs-simon-p.aspx?source=iedfolrf0000001'],['Battle Royale Realty Income Corporation Vs Simon P.aspx?source=iedfolrf0000001']
2015-11-10,0.0,1,,1,['http://www.octafinance.com/south-georgia-capital-top-10-13f-positions-in-q3-2015/271610/'],['271610']
2015-11-18,-0.54,1,,1,['http://seekingalpha.com/article/3693716-retirees-understand-the-yield-gratification-tradeoff'],['3693716 Retirees Understand The Yield Gratification Tradeoff']
2015-11-25,0.66,1,,1,['http://www.americantradejournal.com/realty-income-corporation-short-interest-update/6152786/'],['6152786']
2015-11-27,3.06,1,,1,['http://investorwired.com/active-stocks-in-the-spotlight-hsbc-holdings-plc-adrhsbc-realty-income-corp-o-abb-ltd-adrabb/1774855'],['1774855']
2015-12-15,0.16,1,,1,['http://seekingalpha.com/article/3755366-dear-santa-all-i-want-for-christmas-are-a-few-good-reits-part-3'],['3755366 Dear Santa All I Want For Christmas Are A Few Good Reits Part 3']
2015-12-21,0.84,1,,1,['http://seekingalpha.com/article/3768796-memorial-production-partners-leads-follower-favorite-dividend-dogs-with-56_6-percent-yield-41_5-percent-upside-and-96-percent-net-as-of-december-2016'],['3768796 Memorial Production Partners Leads Follower Favorite Dividend Dogs With 56 6 Percent Yield 41 5 Percent Upside And 96 Percent Net As Of December 2016']
2015-12-28,0.16,1,,1,['http://www.americantradejournal.com/company-shares-of-realty-income-corporation-nyseo-rally-0-43/6169579/'],['6169579']
2015-12-30,3.62,1,,1,['http://www.benzinga.com/trading-ideas/long-ideas/15/12/6081748/2-reits-stifel-just-hiked-targets-at'],['2 Reits Stifel Just Hiked Targets At']
2016-01-02,2.4,1,,1,['http://seekingalpha.com/article/3786276-berts-december-dividend-income-summary'],['3786276 Berts December Dividend Income Summary']
2016-01-15,0.16,1,,1,['http://www.4-traders.com/REALTY-INCOME-CORP-13868/news/Realty-Income-Announces-Dividend-Increase-Of-5-21692922/'],['Realty Income Announces Dividend Increase Of 5 21692922']
2016-01-18,-0.29,1,,1,['http://investorplace.com/2016/01/stock-will-boost-dividend-4-times-2016/'],['Stock Will Boost Dividend 4 Times 2016']
2016-02-01,1.48,1,,1,['http://seekingalpha.com/article/3853196-checking-dividend-growth-portfolio-volatile-environment'],['3853196 Checking Dividend Growth Portfolio Volatile Environment']
2016-02-17,1.39,2,1.14,2,"['http://news.carbon-future.co.uk/archives/11896', 'http://seekingalpha.com/article/3900896-margin-safety-strong-hold-realty-income']","['11896', '3900896 Margin Safety Strong Hold Realty Income']"
2016-02-22,0.48,1,,1,['http://seekingalpha.com/article/3916546-build-income-portfolio-today-update-4'],['3916546 Build Income Portfolio Today Update 4']
2016-03-01,2.94,1,,1,['http://news.yahoo.com/universal-health-realty-reports-4q-224123226.html'],['Universal Health Realty Reports 4q 224123226']
2016-03-04,2.07,1,,1,['http://www.zacks.com/stock/news/209546/taubman-tco-hikes-dividend-by-53-are-you-buying'],['Taubman Tco Hikes Dividend By 53 Are You Buying']
2016-03-08,1.42,2,1.06,1,"['http://seekingalpha.com/article/3956476-epr-properties-demonstrates-place-top-quality-reit', 'http://seekingalpha.com/article/3956501-reit-impact-movie-merger-mania']","['3956476 Epr Properties Demonstrates Place Top Quality Reit', '3956501 Reit Impact Movie Merger Mania']"
2016-03-09,-1.55,1,,1,['http://www.livecharts.co.uk/share_prices/US-close--Stocks-fall-on-decline-in-oil-price-news24091206.html'],['Us Close Stocks Fall On Decline In Oil Price News24091206']
2016-03-10,2.66,2,1.49,1,"['http://seekingalpha.com/article/3957218-average-joe-one-reit', 'http://seekingalpha.com/article/3956967-can-trust-someone-wears-cheap-cologne-dividend-health-checkup-podcast-episode-8-williams-bay']","['3957218 Average Joe One Reit', '3956967 Can Trust Someone Wears Cheap Cologne Dividend Health Checkup Podcast Episode 8 Williams Bay']"
2016-03-20,-0.11,1,,1,['http://www.nasdaq.com/article/is-digital-realty-trust-a-buy-now-cm595475'],['Is Digital Realty Trust A Buy Now Cm595475']
