date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2021-02-26,-0.7,1,,1,['https://omaha.com/business/investment/personal-finance/3-stocks-that-cut-you-a-check-every-month/article_fe64ad06-6a79-5da9-bddb-b28d1bc9dd2b.html'],['Article Fe64ad06 6a79 5da9 Bddb B28d1bc9dd2b']
2021-03-17,-2.3,1,,1,['https://finance.yahoo.com/news/110th-common-stock-monthly-dividend-232000512.html'],['110th Common Stock Monthly Dividend 232000512']
2021-04-28,0.88,1,,1,['https://www.fool.com/investing/2021/04/28/3-stocks-to-buy-with-dividends-yielding-more-than/?source=iedfolrf0000001'],['?source=iedfolrf0000001']
2021-05-24,2.01,1,,1,['https://www.insidermonkey.com/blog/10-best-stocks-to-buy-for-early-retirement-944644/'],['10 Best Stocks To Buy For Early Retirement 944644']
2021-07-10,1.77,1,,1,['https://stocksregister.com/2021/07/10/pennsylvania-real-estate-investment-trust-nysepei-analysts-revisions-point-to-positive-sentiment/'],['Pennsylvania Real Estate Investment Trust Nysepei Analysts Revisions Point To Positive Sentiment']
2021-07-24,0.34,1,,1,['https://www.fool.com/investing/2021/07/24/simon-property-group-vs-realty-income-better-buy-n/'],['Simon Property Group Vs Realty Income Better Buy N']
2021-08-25,-0.47,1,,1,['https://www.fool.com/investing/2021/08/25/heres-what-reit-investors-need-to-know-about-infla/'],['Heres What Reit Investors Need To Know About Infla']
2021-09-17,0.39,1,,1,['https://www.fool.com/investing/2021/09/17/2-stocks-to-buy-dividends-yielding-more-than-3/'],['2 Stocks To Buy Dividends Yielding More Than 3']
2021-11-19,1.99,1,,1,['https://www.insidermonkey.com/blog/11-best-stocks-to-buy-for-the-rest-of-2021-984772/'],['11 Best Stocks To Buy For The Rest Of 2021 984772']
2022-01-01,2.05,1,,1,['https://www.fool.com/investing/2022/01/01/5-reasons-this-warren-buffett-stock-is-still-a-buy/'],['5 Reasons This Warren Buffett Stock Is Still A Buy']
2022-01-06,1.32,1,,1,['https://www.fool.com/investing/2022/01/06/5-stocks-i-own-will-add-to-if-market-crashes/'],['5 Stocks I Own Will Add To If Market Crashes']
2022-03-15,-2.59,1,,1,['https://www.nbcsandiego.com/news/business/money-report/cramers-lightning-round-stay-away-from-snap-here/2894897/'],['2894897']
2022-04-18,0.77,1,,1,['https://seekingalpha.com/article/4501873-realty-income-perhaps-greatest-reit-of-all-time'],['4501873 Realty Income Perhaps Greatest Reit Of All Time']
2022-06-20,0.71,1,,1,['https://www.fool.com/investing/2022/06/20/3-simple-ways-to-make-over-25000-in-passive-income/'],['3 Simple Ways To Make Over 25000 In Passive Income']
2022-11-13,1.39,1,,1,['https://www.insidermonkey.com/blog/10-best-dividend-stocks-with-over-10-years-of-dividend-increases-1084719/'],['10 Best Dividend Stocks With Over 10 Years Of Dividend Increases 1084719']
2022-12-03,-0.5,1,,1,['https://seekingalpha.com/article/4560779-the-retirees-dividend-portfolio-johns-october-update-deployed-cash-results-in-favorable-gains'],['4560779 The Retirees Dividend Portfolio Johns October Update Deployed Cash Results In Favorable Gains']
2022-12-24,2.62,1,,1,['https://www.fool.com/investing/2022/12/24/what-the-smartest-investors-know-about-six-flags/'],['What The Smartest Investors Know About Six Flags']
