date,avg_sentiment,article_count,sentiment_std,unique_sources,article_urls,headlines
2019-01-01,2.73,4,2.75,1,"['https://insideevs.com/tesla-supercharging-network-wins/', 'https://insideevs.com/tesla-model-3-inventory-shrunk-2018-sales-rush/', 'https://insideevs.com/2018-tesla-killed-toyota-prius/', 'https://insideevs.com/check-out-incredible-tesla-roadster-sculpture/']","['Tesla Supercharging Network Wins', 'Tesla Model 3 Inventory Shrunk 2018 Sales Rush', '2018 Tesla Killed Toyota Prius', 'Check Out Incredible Tesla Roadster Sculpture']"
2019-01-02,-0.74,12,1.27,9,"['https://www.benzinga.com/news/19/01/12918523/mid-morning-market-update-markets-open-lower-omega-healthcare-investors-to-buy-m', 'https://www.kyma.com/lifestyle/automotive/tesla-will-cut-prices-to-combat-tax-credit-phase-out/961751084', 'https://www.investmentwatchblog.com/tsla-growth-stock-endless-demand-meme-died-today/', 'https://dailycaller.com/2019/01/02/tesla-tax-credits/', 'https://www.benzinga.com/news/19/01/12919363/mid-day-market-update-crude-oil-up-over-3-prana-biotechnology-shares-jump', 'https://www.dailymail.co.uk/sciencetech/article-6547553/Tesla-shares-dive-price-cut-production-numbers.html', 'https://www.investmentwatchblog.com/einhorns-greenlight-extends-decline-to-34-in-worst-year/', 'https://www.independent.co.uk/news/business/news/tesla-share-price-falls-electric-car-company-cuts-prices-elon-musk-a8708266.html', 'https://www.marketscreener.com/news/Wall-Street-erases-losses-as-bank-energy-stocks-lead-pullback--27814357/', 'https://www.newsmax.com/finance/taralachapelle/2019-horoscopes-ceos-favorite/2019/01/02/id/896546/', 'https://www.newsmax.com/finance/streettalk/wall-street-stocks-dow-fears/2019/01/02/id/896550/', 'https://www.ctpost.com/business/article/Tesla-delivers-record-number-of-vehicles-cuts-13502917.php']","['Mid Morning Market Update Markets Open Lower Omega Healthcare Investors To Buy M', '961751084', 'Tsla Growth Stock Endless Demand Meme Died Today', 'Tesla Tax Credits', 'Mid Day Market Update Crude Oil Up Over 3 Prana Biotechnology Shares Jump', 'Tesla Shares Dive Price Cut Production Numbers', 'Einhorns Greenlight Extends Decline To 34 In Worst Year', 'Tesla Share Price Falls Electric Car Company Cuts Prices Elon Musk A8708266', 'Wall Street Erases Losses As Bank Energy Stocks Lead Pullback 27814357', '896546', '896550', 'Tesla Delivers Record Number Of Vehicles Cuts 13502917.php']"
2019-01-03,0.33,24,2.1,22,"['http://www.castanet.net/edition/news-story-245780-6-.htm', 'https://www.stltoday.com/business/tesla-s-stock-plunges-after-fourth-quarter-deliveries-fail-to/article_9a2dec8b-1773-5a57-8b1f-e5365a00881f.html', 'https://www.forbes.com/sites/jeanbaptiste/2019/01/02/tesla-is-now-americas-number-one-premium-automotive-company-outsells-bmw-lexus-in-q4/', 'https://www.fxstreet.com/news/wall-street-ekes-out-a-small-gain-for-first-turbulent-trading-day-of-2019-201901022150', 'https://www.onenewspage.com/n/Technology/1zkg35qqyi/Tesla-cuts-vehicle-prices-by-000-to.htm', 'https://www.slashgear.com/tesla-slashes-evs-by-2000-as-us-incentives-halve-02559724/', 'https://www.business-standard.com/article/reuters/tesla-cuts-u-s-prices-on-all-vehicles-shares-drop-119010300089_1.html', 'https://www.reuters.com/article/us-tesla-deliveries/tesla-cuts-us-prices-on-all-vehicles-shares-drop-idUSKCN1OW0ZR', 'https://globalnews.ca/news/4808342/tesla-us-prices-tax-incentives/', 'https://www.570news.com/2019/01/02/business-highlights-73/', 'https://www.winnipegfreepress.com/business/business-highlights-503815482.html', 'http://www.klif.com/news/tesla-will-cut-prices-to-combat-tax-credit-phase-out/', 'https://www.reuters.com/article/usa-stocks/us-stocks-wall-st-ekes-out-gains-in-rocky-start-to-2019-idUSL1N1Z21FS', 'https://sputniknews.com/business/201901031071178365-tesla-prices-cut/', 'https://www.washingtonpost.com/business/technology/could-tesla-price-cuts-mean-demand-is-slowing/2019/01/03/ec504674-0f18-11e9-8f0c-6f878a26288a_story.html', 'https://www.middletownpress.com/business/technology/article/Could-Tesla-price-cuts-mean-demand-is-slowing-13504965.php', 'https://www.news957.com/business/2019/01/03/could-tesla-price-cuts-mean-demand-is-slowing/', 'https://www.timesnownews.com/technology-science/article/tech-birthdays-how-old-will-be-google-apple-microsoft-facebook-snapchat-tesla-netflix-ibm-and-more-tech-companies-in-2019/340895', 'https://www.washingtonpost.com/business/technology/could-tesla-price-cuts-mean-demand-is-slowing/2019/01/03/99ad5c48-0f15-11e9-8f0c-6f878a26288a_story.html', 'https://www.nextbigfuture.com/2019/01/tesla-increased-model-3-production-by-15-in-fourth-quarter-and-will-drop-prices-by-2000.html', 'https://idahobusinessreview.com/2019/01/03/tesla-cuts-prices-as-4q-deliveries-miss-analysts-estimates/', 'https://www.thestar.com.my/business/business-news/2019/01/03/tesla-stock-on-a-blockchain-offers-hint-of-where-cryptos-headed/', 'https://www.newsoptimist.ca/could-tesla-price-cuts-mean-demand-is-slowing-1.23574067', 'https://knpr.org/headline/2019-01/tesla-cutting-price-vehicles-it-ramps-production']","['News Story 245780 6', 'Article 9a2dec8b 1773 5a57 8b1f E5365a00881f', 'Tesla Is Now Americas Number One Premium Automotive Company Outsells Bmw Lexus In Q4', 'Wall Street Ekes Out A Small Gain For First Turbulent Trading Day Of 2019 201901022150', 'Tesla Cuts Vehicle Prices By 000 To', 'Tesla Slashes Evs By 2000 As Us Incentives Halve 02559724', 'Tesla Cuts U S Prices On All Vehicles Shares Drop 119010300089 1', 'Tesla Cuts Us Prices On All Vehicles Shares Drop Iduskcn1ow0zr', 'Tesla Us Prices Tax Incentives', 'Business Highlights 73', 'Business Highlights 503815482', 'Tesla Will Cut Prices To Combat Tax Credit Phase Out', 'Us Stocks Wall St Ekes Out Gains In Rocky Start To 2019 Idusl1n1z21fs', '201901031071178365 Tesla Prices Cut', 'Ec504674 0f18 11e9 8f0c 6f878a26288a Story', 'Could Tesla Price Cuts Mean Demand Is Slowing 13504965.php', 'Could Tesla Price Cuts Mean Demand Is Slowing', '340895', '99ad5c48 0f15 11e9 8f0c 6f878a26288a Story', 'Tesla Increased Model 3 Production By 15 In Fourth Quarter And Will Drop Prices By 2000', 'Tesla Cuts Prices As 4q Deliveries Miss Analysts Estimates', 'Tesla Stock On A Blockchain Offers Hint Of Where Cryptos Headed', 'Could Tesla Price Cuts Mean Demand Is Slowing 1.23574067', 'Tesla Cutting Price Vehicles It Ramps Production']"
2019-01-04,1.77,2,0.09,2,"['https://www.slashgear.com/polestar-2-teaser-provides-first-glimpse-of-tesla-model-3-competitor-03559829/', 'https://finance.yahoo.com/news/tesla-close-model-3-approval-194101629.html']","['Polestar 2 Teaser Provides First Glimpse Of Tesla Model 3 Competitor 03559829', 'Tesla Close Model 3 Approval 194101629']"
2019-01-05,1.04,4,1.69,3,"['https://cleantechnica.com/2019/01/04/the-tesla-story-through-the-eyes-of-tesla-shorts-obsessive-critics/', 'https://www.autonews.com/china/tesla-seeks-tariff-exemption-chinese-made-car-computer-brain', 'https://www.tickerreport.com/banking-finance/4058264/teslacoilcoin-tesla-reaches-one-day-volume-of-1078-00.html', 'https://cleantechnica.com/2019/01/04/tesla-model-3-sales-32-of-all-small-midsize-luxury-car-sales-in-december-usa/']","['The Tesla Story Through The Eyes Of Tesla Shorts Obsessive Critics', 'Tesla Seeks Tariff Exemption Chinese Made Car Computer Brain', 'Teslacoilcoin Tesla Reaches One Day Volume Of 1078 00', 'Tesla Model 3 Sales 32 Of All Small Midsize Luxury Car Sales In December Usa']"
2019-01-06,-0.2,1,,1,['https://dailytimes.com.pk/340992/tesla-urges-tariff-exemption-for-chinese-made-car-computer-brain/'],['Tesla Urges Tariff Exemption For Chinese Made Car Computer Brain']
2019-01-07,-0.05,7,1.75,7,"['https://www.autoevolution.com/news/musk-confirms-us-built-model-y-at-tesla-china-factory-groundbreaking-ceremony-131426.html', 'https://www.industryweek.com/leadership/musk-breaks-ground-tesla-china-plant-first-outside-us', 'https://whatsnew2day.com/elon-musk-starts-his-work-on-his-2billion-tesla-39-gigafactory-39-in-china/', 'https://tucson.com/news/world/tesla-breaks-ground-on-factory-in-shanghai/article_9f41e0d6-528d-5955-bf12-eeac1a7e0032.html', 'https://www.voiceofalexandria.com/news/national_business_news/tesla-breaks-ground-on-factory-in-shanghai/article_1d4df846-0520-51fe-9bc0-375a8c886309.html', 'https://www.wfmz.com/news/ap-technology/teslas-musk-says-shanghai-factory-breaking-ground/969218842', 'https://www.wraltechwire.com/2019/01/07/tesla-starts-building-its-huge-shanghai-factory-to-make-cars-for-china/']","['Musk Confirms Us Built Model Y At Tesla China Factory Groundbreaking Ceremony 131426', 'Musk Breaks Ground Tesla China Plant First Outside Us', 'Elon Musk Starts His Work On His 2billion Tesla 39 Gigafactory 39 In China', 'Article 9f41e0d6 528d 5955 Bf12 Eeac1a7e0032', 'Article 1d4df846 0520 51fe 9bc0 375a8c886309', '969218842', 'Tesla Starts Building Its Huge Shanghai Factory To Make Cars For China']"
2019-01-08,0.95,4,2.05,4,"['https://www.myespanolanow.com/22314/after-the-bell-tsx-rises-as-investors-await-central-bank-decision-tesla-breaks-ground-on-shanghai-factory/', 'https://www.sfchronicle.com/business/article/Mastercard-s-name-drops-Tesla-s-China-opps-13515373.php', 'https://www.autoevolution.com/news/tesla-model-y-could-cost-between-35000-and-40000-131451.html', 'https://www.wral.com/tesla-starts-building-its-huge-shanghai-factory-to-make-cars-for-china/18107752/']","['After The Bell Tsx Rises As Investors Await Central Bank Decision Tesla Breaks Ground On Shanghai Factory', 'Mastercard S Name Drops Tesla S China Opps 13515373.php', 'Tesla Model Y Could Cost Between 35000 And 40000 131451', '18107752']"
2019-01-09,-1.35,14,2.2,13,"['https://www.smdailyjournal.com/news/world/chinese-premier-meets-with-tesla-s-musk-as-trade-talks/article_16d7a1d5-58f5-567c-8c50-8d0cf7cb6380.html', 'https://www.ksl.com/article/46464412/us-china-end-talks-on-tariff-battle-with-no-word-on-outcome', 'https://www.kob.com/business-news/chinese-premier-meets-with-teslas-musk-as-trade-talks-end/5203692/?cat=602', 'https://www.stltoday.com/news/world/chinese-premier-meets-with-tesla-s-musk-as-trade-talks/article_c50a3a8c-7f1e-583d-8c63-3649bcff382a.html', 'https://www.business-standard.com/article/pti-stories/chinese-premier-meets-with-tesla-s-musk-as-trade-talks-end-119010900699_1.html', 'https://thestarphoenix.com/pmn/news-pmn/us-china-extend-talks-on-trade-battle-for-3rd-day/wcm/ec5ac835-81c0-4701-8c60-c02ca1462657', 'https://www.stltoday.com/news/national/govt-and-politcs/stocks-rise-along-with-optimism-over-us-china-trade-talks/article_94bdca89-c847-5a7b-bf32-eab39e0367e2.html', 'https://neworleanscitybusiness.com/blog/2019/01/09/stocks-rise-along-with-optimism-over-us-china-trade-talks/', 'https://www.1011now.com/content/news/US-China-end-talks-on-tariff-battle-with-no-word-on-outcome-504101111.html', 'https://carbuzz.com/news/tesla-is-making-several-changes-to-the-model-3', 'https://insideevs.com/tesla-model-3-best-selling-luxury-car-u-s-2018/', 'https://www.apnews.com/1a82ebdfab40498fb698cae2f82498a2', 'https://www.mychamplainvalley.com/news/world-news/us-china-extend-talks-on-trade-battle-for-3rd-day/1693071878', 'https://www.capitalpress.com/ap/national/stocks-rise-along-with-optimism-over-us-china-trade-talks/article_908ae57b-fd6c-56a9-a328-32d01615fd0f.html']","['Article 16d7a1d5 58f5 567c 8c50 8d0cf7cb6380', 'Us China End Talks On Tariff Battle With No Word On Outcome', '?cat=602', 'Article C50a3a8c 7f1e 583d 8c63 3649bcff382a', 'Chinese Premier Meets With Tesla S Musk As Trade Talks End 119010900699 1', 'Ec5ac835 81c0 4701 8c60 C02ca1462657', 'Article 94bdca89 C847 5a7b Bf32 Eab39e0367e2', 'Stocks Rise Along With Optimism Over Us China Trade Talks', 'Us China End Talks On Tariff Battle With No Word On Outcome 504101111', 'Tesla Is Making Several Changes To The Model 3', 'Tesla Model 3 Best Selling Luxury Car U S 2018', '1a82ebdfab40498fb698cae2f82498a2', '1693071878', 'Article 908ae57b Fd6c 56a9 A328 32d01615fd0f']"
2019-01-10,1.24,6,2.21,6,"['https://www.topspeed.com/cars/car-news/hyundai-could-be-beating-tesla-at-its-own-game-ar184045.html', 'https://www.engadget.com/2019/01/09/tesla-to-stop-selling-75kwh-model-s-x/', 'https://www.michigansthumb.com/news/article/US-China-trade-talks-wrap-up-with-outcome-unclear-13522287.php', 'https://www.thetruthaboutcars.com/2019/01/tesla-chops-base-models/', 'https://auto.ndtv.com/news/tesla-to-retire-lowest-priced-versions-of-its-model-s-x-vehicles-1975710', 'https://seekingalpha.com/article/4232644-tesla-major-q1-delivery-miss-seems-likely']","['Hyundai Could Be Beating Tesla At Its Own Game Ar184045', 'Tesla To Stop Selling 75kwh Model S X', 'Us China Trade Talks Wrap Up With Outcome Unclear 13522287.php', 'Tesla Chops Base Models', 'Tesla To Retire Lowest Priced Versions Of Its Model S X Vehicles 1975710', '4232644 Tesla Major Q1 Delivery Miss Seems Likely']"
